site,type1,type2,type3,notes,location,source
100percentfedup.com,Bias,,,,,OpenSources
16wmpo.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
16wmpo.com,Imposter site,,,,"Scottsdale, Ariz. **",Politifact
21stcenturywire.com,Conspiracy,,,,,OpenSources
247newsmedia.com,Fake news,,,,"Kumanovo, Macedonia",Politifact
24newsflash.com,Fake news,,,,,OpenSources
24online.news,Imposter site,,,,"Panama, Pa. **",Politifact
24wpn.com,Fake news, ,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
24wpn.com,Fake news,,,,"Veles, Macedonia",Politifact
365usanews.com,Bias,Conspiracy,,,,OpenSources
4threvolutionarywar.wordpress.com,Bias,Conspiracy,,,,OpenSources
70news.wordpress.com,Fake news,,,,,OpenSources
82.221.129.208,Conspiracy,Fake news,, ,,OpenSources
aanirfan.blogspot.co.uk,Unreliable,,,0,,OpenSources
abcnews.com.co,Fake news,,,,,OpenSources
abcnews.com.co,Imposter site,,,,"Phoenix, Ariz.",Politifact
abcnewsgo.co,Fake news,,,,,OpenSources
abeldanger.net,Conspiracy,,,,,OpenSources
abovetopsecret.com,Conspiracy,Rumour,,,,OpenSources
abriluno.com,Satire,Fake news,,,,OpenSources
aceflashman.wordpress.com,Satire,,,,,OpenSources
actforamerica.org/news,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
acting-man.com,Unreliable,Conspiracy,,publishes articles denying climate change,,OpenSources
activistpost.com,Conspiracy,,,,,OpenSources
actualidadpanamericana.com,Parody site,,,,"Scottsdale, Ariz. **",Politifact
actualidadpanamericana.com,Satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
addictinginfo.org,Clickbait,Unreliable,,,,OpenSources
adflegal.org/media,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
adobochronicles.com,Satire,,,,,OpenSources
advocate.com,Political,reliable,,,,OpenSources
aheadoftheherd.com,Bias,,,"false quotes regarding banking, heavily promotes businesses advertising on site/ buying of precious metals",,OpenSources
ahtribune.com,Unreliable,Bias,,,,OpenSources
alabamaobserver.com,Imposter site,,,,"Toronto, Canada !!!",Politifact
allnewspipeline.com,Unreliable,Conspiracy,,,,OpenSources
alt-market.com,Conspiracy,Bias, ,,,OpenSources
alternativemediasyndicate.com,Fake news,,,http://alternativemediasyndicate.com/2017/02/02/police-raid-standing-rock-camp-destroy-tipis-burning-remains/,,OpenSources
alternet.org,Political,reliable,,,,OpenSources
americablog.com,Bias,Clickbait,,domain for sale,,OpenSources
americanborderpatrol.com,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
americanflavor.news,Fake news,,,,"Panama, Pa. *",Politifact
americanfreepress.net,Conspiracy,Bias,,,,OpenSources
americankabuki.blogspot.com,Junksci,,,,,OpenSources
americanlookout.com,Bias,Clickbait,,,,OpenSources
americannews.com,Fake news,,,,,OpenSources
americannewsx.com,Political,Bias,Satire,,,OpenSources
americanoverlook.com,Fake news,,,,,OpenSources
americanpatriotdaily.com,Bias,Clickbait,Bias,,,OpenSources
americanpeoplenetwork.com,Fake news,,,,"Veles, Macedonia",Politifact
americanpoliticnews.co,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
americanpoliticnews.co,Fake news,,,,Came up as available for use,Politifact
americanpresident.co,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
americanpresident.co,Fake news,,,,"Tblisi, Georgia",Politifact
americanprogress.org,Political,reliable,,,,OpenSources
americanreviewer.com,Conspiracy,,,,,OpenSources
americanthinker.com,Bias, ,,"sites both reliable/not reliable sources, mix of opinion/'fact'",,OpenSources
americantoday.news,Rumour,Bias,,,,OpenSources
americasfreedomfighters.com,Bias,Clickbait,,,,OpenSources
ammoland.com,Bias,,, ,,OpenSources
amplifyingglass.com,Clickbait,Satire,,,,OpenSources
amposts.com,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
amposts.com,Fake news,,,,"Chesterbrook, Pa.^",Politifact
amren.com,Hate,Conspiracy,,,,OpenSources
amren.com,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
amtvmedia.com,Rumour,Unreliable,,,,OpenSources
amusmentic.com,Clickbait,Rumour,,,,OpenSources
ancient-code.com,Junksci,Unreliable,,,,OpenSources
anews24.org/,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
anews24.org/,Fake news,,,,"Panama, Pa. *",Politifact
angrypatriotmovement.com,Conspiracy,Fake news,,,,OpenSources
angrypatriotmovement.com,Fake news,,,,"Scottsdale, Ariz. **",Politifact
anonews.co,Unreliable,,,,,OpenSources
anonhq.com,Unreliable,,,,,OpenSources
anonjekloy.tk,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
anonjekloy.tk,Fake news,,,,"Amsterdam, Netherlands",Politifact
anonnews.co,Unreliable,,,,,OpenSources
anotherdayintheempire.com,Bias,Conspiracy,,,,OpenSources
antiwar.com,Bias,Unreliable,,site is biased but very open about bias and source,,OpenSources
antoniusaquinas.wp.com,Bias,Conspiracy,,,,OpenSources
aryannationswordwide1488.org,Hate,,,https://www.splcenter.org/fighting-Hate/extremist-files/groups,,OpenSources
asia-pacificresearch.com,Unreliable,Satire,,,,OpenSources
assassinationscience.com,Conspiracy,Junksci,,,,OpenSources
associatedmediacoverage.com,Parody site,,,,"Scottsdale, Ariz. **",Politifact
associatedmediacoverage.com,Satire,,,,,OpenSources
attn.com,Political,Clickbait,,,,OpenSources
aurora-news.us,Fake news,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,,OpenSources
aurora-news.us,Imposter site,,,,"Santiago, Chile",Politifact
automaticearth.com,Unreliable,,,links to MSM sources and Unreliable sources,,OpenSources
automotostar.com,Clickbait,,,,,OpenSources
awarenessact.com,Conspiracy,Junksci,,,,OpenSources
